Empresa;Filial;Produto;Produto Fornecedor;Descricao;Classe;Saldo;Preco Venda;Custo Reposicao;ICMS ST;Icms Normal;IPI;Icms Ult. Entrada;PIS Ult. Entrada;Cofins Ult. Entrada;CBENEF;CST Saida;CST Entrada;NCM;Classificacao Fiscal;CEST;% IPI;Uf Ultima Entrada;% Reducao E;% Reducao S;%Credito Out. E;%Credito Out. S;%FCP E;%FCP S;%MVA E;%MVA S;%ICMS E;%ICMS S;% PIS E;% PIS S;% COFINS E;% COFINS S;ST COFINS E;ST COFINS S;ST PIS E;ST PIS S;%RED. ST E;%RED. ST S;%Red. Difer. E;%Red. Difer. S;Aliq.ICMS Gar E;Aliq.ICMS Gar S;Comp ST Ent Orig;Comp ST Sai Orig;Comp ST Dev Orig;Comp ST Ent Dest;Comp ST Sai Dest;Comp ST Dev Dest;Codigo Getin;WMS;Altura;Largura;Comprimento;Empilhamento;Validade;Descricao WMS;Grupo;Sub-Grupo;Fornecedor;Peso Liquido;Peso Bruto;Unid.Med;QtdCX;Fator Conversao;Operacao;Multiplo;Especial;Pedido Minimo;Pauta;Valor;Margem Bruta;Conting;Agregados;Custo NF;Desconto;Verba;Data Ult. Compra;Qtde Ult. Compra;Acumula Caixa;Gera ADM;Aceita Troca;Aceita Subfat;Situacao;Tipo;Vai Palm;Ctrl Lote;Perc. Comis.;Qtd.Max.Revenda;Agrup.;ST IPI;EAN Trib;Divisor WMS;Data Cad.;Outras Despesas;EAN Comercial;Embalagem Comercial;EAN Tributavel;Embalagem Tributavel;EAN CX WMS;Emb Com. CX;EAN Display WMS;Emb Com. Display;EAN Frac Wms;EAN Fornecedor;Fator Fornecedor;EAN Ecom;Fator Ecom;CX Ecom;Emb. Exp. Comercial;Emb. Exp. Trib.;
03;01;10100001;1048101             ;ACAFRAO CLASSIC CHEF..............01x 80;0;         60,00;       9,2200;       5,4157;          0,0000;          0,3800;          0,0000;          0,3800;          0,0800;          0,3800;        ;00;00;  9103000;'09103000  ;0000000;  0,00;PR;    0,00;    0,00;    0,00;   22,00;    0,00;    0,00;    0,00;    0,00;    7,00;   17,00;    1,65;    1,65;    7,60;    7,60;50;01;   50,00;    1,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;        ;    0,00;    0,00;    0,00;7898489770971 ;S;   0,0600;   0,0600;   0,1000;   65;  730;ACAFRAO CLASSIC CHEF...12x 80G                              ;1011;10110011;003414868000126;    0,080;    0,117;0001;    1;   12,000;M;   3;1;    1;0000;       0,0000;      36,74;       3,00;       4,50;       5,5025;       0,00;        0,0000;04/11/2024;     60,00;0;1;0;0;A; ;S;N;  0,00;    0;   87;00;7898489770971 ;   12;18/01/2021;          0,0000;7898489770971 ;0001-UN;7898489770971 ;0001-UN;17898489770978;0011-CX0012;              ;0000-****;7898489770971 ;7898489770971 ;    ;              ;000;00000;0000-****;0000-****;
03;01;10100002;1021191             ;ALCAPARRA CONSERVA CLASSIC CHEF. .01x100;0;          0,00;      10,4100;       5,9780;          0,0000;          0,2300;          0,0000;          0,2300;          0,0900;          0,4300;        ;10;00; 20019000;'20019000A ;1709000;  0,00;PR;    0,00;    0,00;    0,00;   22,00;    0,00;    0,00;    0,00;   27,30;    4,00;   17,00;    1,65;    1,65;    7,60;    7,60;50;01;   50,00;    1,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;        ;    0,00;    0,00;    0,00;7898489770179 ;S;   0,0600;   0,0600;   0,1000;   65;  730;ALCAPARRAS CONSERVA CLASSIC CHEF...24x100g                  ;1011;10110003;003414868000126;    0,100;    0,320;0001;    1;   24,000;M;   4;1;    1;0000;       0,0000;      38,10;       3,00;       4,50;       5,9867;       0,00;        0,0000;04/11/2024;     72,00;0;1;0;0;A; ;S;N;  0,00;    0;   83;00;7898489770179 ;   24;29/05/2020;          0,0000;7898489770179 ;0001-UN;7898489770179 ;0001-UN;17898489770176;0019-CX0024;              ;0000-****;7898489770179 ;7898489770179 ;    ;              ;000;00000;0000-****;0000-****;
03;01;10100003;1022191             ;ALCAPARRAS SH CLASSIC CHEF........01X 80;0;        412,00;       5,7700;       3,3842;          0,0000;          0,2300;          0,0000;          0,2300;          0,0500;          0,2300;        ;10;00; 20019000;'20019000  ;1709000;  0,00;PR;    0,00;    0,00;    0,00;   22,00;    0,00;    0,00;    0,00;   27,30;    7,00;   17,00;    1,65;    1,65;    7,60;    7,60;50;01;   50,00;    1,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;        ;    0,00;    0,00;    0,00;7898489771565 ;S;   0,0500;   0,1100;   0,1600;   65;  730;ALCAPARRA POUCH CLASSIC CHEF......12X80G                    ;1011;10110016;003414868000126;    0,080;    0,083;0001;    1;   12,000;M;   3;1;    1;0000;       0,0000;      36,78;       3,00;       4,50;       3,3842;       0,00;        0,0000;04/11/2024;    516,00;0;1;0;0;A; ;S;N;  0,00;    0;   89;00;7898489771565 ;   12;24/02/2023;          0,0000;7898489771565 ;0001-UN;7898489771565 ;0001-UN;17898489771562;0011-CX0012;              ;0000-****;7898489771565 ;7898489771565 ;    ;0             ;000;00000;0000-****;0000-****;
03;01;10100004;1019201             ;ALHO EM CONSERVA CLASSIC CHEF.....01x100;0;        150,00;      10,1800;       5,9508;          0,0000;          0,4100;          0,0000;          0,4100;          0,0900;          0,4200;        ;10;00; 20059900;'20059900  ;1709200;  0,00;PR;    0,00;    0,00;    0,00;   22,00;    0,00;    0,00;    0,00;   27,30;    7,00;   17,00;    1,65;    1,65;    7,60;    7,60;50;01;   50,00;    1,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;        ;    0,00;    0,00;    0,00;7898489771084 ;S;   0,0600;   0,0600;   0,1000;   65;  730;ALHO EM CONSERVA CLASSIC CHEF...24x100g                     ;1011;10110003;003414868000126;    0,100;    0,351;0001;    1;   24,000;M;   4;1;    1;0000;       0,0000;      37,00;       3,00;       4,50;       5,9508;       0,00;        0,0000;04/11/2024;    120,00;0;1;0;0;A; ;S;N;  0,00;    0;   83;00;7898489771084 ;   24;20/05/2021;          0,0000;7898489771084 ;0001-UN;7898489771084 ;0001-UN;17898489771081;0019-CX0024;              ;0000-****;7898489771084 ;7898489771084 ;    ;              ;000;00000;0000-****;0000-****;
03;01;10100006;1019291             ;ALHO TEMPERADO CLASSIC CHEF.......01x100;0;        175,00;      11,2100;       6,5563;          0,0000;          0,4500;          0,0000;          0,4500;          0,1000;          0,4600;        ;10;00; 20059900;'20059900  ;1709200;  0,00;PR;    0,00;    0,00;    0,00;   22,00;    0,00;    0,00;    0,00;   27,30;    7,00;   17,00;    1,65;    1,65;    7,60;    7,60;50;01;   50,00;    1,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;        ;    0,00;    0,00;    0,00;7898489771091 ;S;   0,0600;   0,0600;   0,1000;   65;  730;ALHO TEMPERADO CLASSIC CHEF...24x100g                       ;1011;10110003;003414868000126;    0,100;    0,316;0001;    1;   24,000;M;   4;1;    1;0000;       0,0000;      37,00;       3,00;       4,50;       6,5563;       0,00;        0,0000;04/11/2024;     24,00;0;1;0;0;A; ;S;N;  0,00;    0;   83;00;7898489771091 ;   24;20/05/2021;          0,0000;7898489771091 ;0001-UN;7898489771091 ;0001-UN;17898489771098;0019-CX0024;              ;0000-****;7898489771091 ;7898489771091 ;    ;              ;000;00000;0000-****;0000-****;
03;01;10100007;1042041             ;AZEITE EX.VG ARGENTINA CLASS.CHEF.01x500;0;         18,00;      35,9800;      26,5108;          0,0000;          1,0604;          0,0000;          1,0604;          0,0000;          0,0000;        ;10;00; 15092000;'15092000A ;1706700;  0,00;PR;    0,00;    0,00;    0,00;   22,00;    0,00;    0,00;    0,00;   10,00;    4,00;   17,00;    0,00;    0,00;    0,00;    0,00;73;06;   73,00;    6,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;        ;    0,00;    0,00;    0,00;7898489771381 ;S;   0,2800;   0,0600;   0,0600;   88;  670;AZEITE EX.VG ARGENTINA CLASS.CHEF...12x500ml                ;1010;10100001;003414868000126;    0,500;    0,855;0001;    1;   12,000;M;   3;1;    1;0117;      41,4600;      32,30;       3,00;       4,50;      26,5108;       0,00;        6,0500;13/01/2025;  4.800,00;0;1;0;0;A; ;S;N;  0,00;    0;   80;00;7898489771381 ;   12;21/06/2022;          0,0000;7898489771381 ;0001-UN;7898489771381 ;0001-UN;17898489771388;0011-CX0012;              ;0000-****;7898489771381 ;7898489771381 ;    ;              ;000;00000;0000-****;0000-****;
03;01;10100014;1042001             ;AZEITE EX.VG PORTUGAL.CLASS.CHEF..01x500;0;          0,00;      27,1900;      16,4725;          0,0000;          0,6500;          0,0000;          0,6583;          0,0000;          0,0000;        ;10;00; 15092000;'15092000A ;1706700;  0,00;PR;    0,00;    0,00;    0,00;   22,00;    0,00;    0,00;    0,00;   10,00;    4,00;   17,00;    0,00;    0,00;    0,00;    0,00;73;06;   73,00;    6,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;        ;    0,00;    0,00;    0,00;8423243009319 ;S;   0,0700;   0,0700;   0,2800;   88;  670;AZEITE EX.VG PORTUGAL CLASSIC CHEF...12x500ml               ;1010;10100001;003414868000126;    0,500;    0,863;0001;    1;   12,000;M;   3;1;    1;0090;      38,9000;      34,86;       3,00;       4,50;      16,4725;       0,00;        0,0000;14/07/2023;    240,00;0;1;0;0;A; ;S;N;  0,00;    0;   80;00;8423243009319 ;   12;02/08/2019;          0,0000;8423243009319 ;0001-UN;8423243009319 ;0001-UN;18423243009316;0011-CX0012;              ;0000-****;8423243009319 ;8423243009319 ;    ;              ;000;00000;0000-****;0000-****;
03;01;10100015;1042101             ;AZEITE EX.VG TUNISIA CLASS.CHEF...01x500;0;         38,00;      35,9500;      30,3216;          0,0000;          1,2100;          0,0000;          1,2100;          0,0000;          0,0000;        ;10;00; 15092000;'15092000A ;1706700;  0,00;PR;    0,00;    0,00;    0,00;   22,00;    0,00;    0,00;    0,00;   10,00;    4,00;   17,00;    0,00;    0,00;    0,00;    0,00;73;06;   73,00;    6,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;        ;    0,00;    0,00;    0,00;7898489771329 ;S;   0,0700;   0,0700;   0,2800;   88;  670;AZEITE EX.VG TUNISIA CLASSIC CHEF...12x500ml                ;1010;10100001;003414868000126;    0,500;    0,863;0001;    1;   12,000;M;   3;1;    1;0093;      42,6600;      32,30;       3,00;       2,50;      30,3217;       0,00;       12,1200;04/11/2024;  1.620,00;0;1;0;0;A; ;S;N;  0,00;    0;   80;00;7898489771329 ;   12;21/07/2021;          0,0000;7898489771329 ;0001-UN;7898489771329 ;0001-UN;17896579950804;0011-CX0012;              ;0000-****;7898489771329 ;7898489771329 ;    ;              ;000;00000;0000-****;0000-****;
03;01;10100020;1020061             ;AZEITONA PRETA C.CAROCO SH CLASS..01x100;0;          0,00;       3,6200;       2,0667;          0,0000;          0,0800;          0,0000;          0,0800;          0,0300;          0,1500;        ;10;00; 20057000;'20057000  ;1709200;  0,00;PR;    0,00;    0,00;    0,00;   22,00;    0,00;    0,00;    0,00;   27,30;    4,00;   17,00;    1,65;    1,65;    7,60;    7,60;50;01;   50,00;    1,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;        ;    0,00;    0,00;    0,00;7898489771343 ;S;   0,1600;   0,1100;   0,0400;   65;  400;AZEITONA PRETA C.CAROCO SH CLASS...24x100g                  ;1011;10110001;003414868000126;    0,100;    0,211;0001;    1;   24,000;M;   3;1;    1;0000;       0,0000;      38,30;       3,00;       4,50;       2,0667;       0,00;        0,0000;14/08/2024;    720,00;0;1;0;0;A; ;S;N;  0,00;    0;   82;00;7898489771343 ;   24;27/04/2022;          0,0000;7898489771343 ;0001-UN;7898489771343 ;0001-UN;17898489771340;0019-CX0024;              ;0000-****;7898489771343 ;7898489771343 ;    ;              ;000;00000;0000-****;0000-****;
03;01;10100023;1020031             ;AZEITONA VERDE C.CAROCO SH CLASS..01x100;0;      4.716,00;       3,9900;       2,6000;          0,0000;          0,1040;          0,0000;          0,1040;          0,0411;          0,1896;        ;10;00; 20057000;'20057000  ;1709200;  0,00;PR;    0,00;    0,00;    0,00;   22,00;    0,00;    0,00;    0,00;   27,30;    4,00;   17,00;    1,65;    1,65;    7,60;    7,60;50;01;   50,00;    1,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;    0,00;        ;    0,00;    0,00;    0,00;7898489770933 ;S;   0,0500;   0,1100;   0,1600;   65;  365;AZEITONA VERDE C.CAROCO CLASSIC CHEF...24x100g              ;1011;10110001;003414868000126;    0,100;    0,205;0001;    1;   24,000;M;   3;1;    1;0000;       0,0000;      30,00;       3,00;       4,50;       2,6000;       0,00;        0,0000;27/03/2025;  8.640,00;0;1;0;0;A; ;S;N;  0,00;    0;   82;00;7898489770933 ;   24;16/11/2020;          0,0000;7898489770933 ;0001-UN;7898489770933 ;0001-UN;17898489770930;0019-CX0024;              ;0000-****;7898489770933 ;7898489770933 ;    ;              ;000;00000;0000-****;0000-****;
