Nota;Emissao;Dt.Cont.;CGC/CPF;Razao;eracao;Repr;Valor da Nota;Desconto;Desc.Troca;Ser;UF;Observacoes;Pedido
231576;29/01/2025;05/02/2025;9401283000158;LAR CENTER;132.02;15;4.247,58;0;0;1;MS;;0
772;31/01/2025;05/02/2025;23474980000160;SUPERMERCADO KA;132.02;15;28,86;0;0;1;MS;;0
476;28/01/2025;05/02/2025;13425704000239;BIM CONVENIENCI;132.02;21;575,9;0;0;1;MS;;0
13622;31/01/2025;05/02/2025;10512870000101;PEPA COMERCIAL;132.02;403;32,68;0,78;0;2;MS;;0
11337;24/01/2025;05/02/2025;11311873000131;MATOS E SILVA L;132.02;5;601,91;0;0;1;MS;;0
3414;31/01/2025;05/02/2025;24109960000233;SUPERMERCADO SA;132.02;403;190,13;0;0;1;MS;;0
9279;28/01/2025;05/02/2025;11311873000301;MERCADO ALVORAD;132.02;5;128,01;0;0;1;MS;;0
16883;31/01/2025;05/02/2025;10513998000505;SUPERMERCADO PI;132.02;402;298,69;15,32;0;1;MS;;0
6098;28/01/2025;05/02/2025;5958813000102;NUNES E SOUZA;132.02;5;104,9;0;0;1;MS;;0
53;28/01/2025;05/02/2025;40343479000426;ARAPONGAS SUPER;132.02;401;165,36;0;0;1;MS;;0
7474;30/01/2025;05/02/2025;10235154000388;GT COMERCIAL DE;132.02;401;163,95;4,04;0;1;MS;;0
22049;28/01/2025;05/02/2025;12075667000485;SUPERMERCADOS P;132.02;402;397,58;41,48;0;1;MS;;0
31598;28/01/2025;05/02/2025;7719683000180;REDE ECONOMICA;132.02;402;59,85;7,18;0;1;MS;;0
26988;29/01/2025;05/02/2025;37577145000160;RUY RODRIGUES P;132.02;21;1.903,74;43,68;0;1;MS;;0
29915;31/01/2025;05/02/2025;10513998000181;SUPERMERCADO PI;132.02;402;253,13;29,51;0;1;MS;;0
7766;31/01/2025;05/02/2025;12075667001457;SUPERMERCADO PI;132.02;402;343,86;50,6;0;1;MS;;0
15318;21/01/2025;05/02/2025;8370598000112;SANTO ANTONIO;132.02;403;198,41;2,29;0;2;MS;;0
1419;22/01/2025;05/02/2025;28638434000211;SAO JOSE COMERC;132.02;453;43,84;5,18;0;1;MS;;0
1418;22/01/2025;05/02/2025;28638434000211;SAO JOSE COMERC;132.02;453;43,84;5,18;0;1;MS;;0
11485;15/01/2025;05/02/2025;9531413000509;NUNES SUPERMERC;132.02;403;157,09;12,03;0;1;MS;;0
39;24/01/2025;05/02/2025;24328966000110;RZ MENS STORE;196.52;0;1.965,00;0;0;1;MS;;0
101;31/01/2025;05/02/2025;36853186000179;AGENCIA 2B UNIF;196.36;0;5.985,00;0;0;1;MS;;0
263;04/02/2025;05/02/2025;34057284000174;A. F. DO CARMO;199.51;0;7.288,00;0;0;1;MS;;0
131;04/02/2025;05/02/2025;18057710000113;ADNAN TRANSPORT;199.51;0;9.601,00;0;0;1;MS;;0
67;04/02/2025;05/02/2025;53117936000163;PEDRO EMERSON B;199.51;0;309;0;0;1;MS;;0
59;04/02/2025;05/02/2025;52623749000199;SHALOM TRANSPOR;199.51;0;6.068,00;0;0;1;MS;;0
127;03/02/2025;05/02/2025;48364005000120;LIBERTY;199.51;0;1.021,00;0;0;1;MS;;0
249;04/02/2025;05/02/2025;19972359000159;SOLIMAR PEDROSO;199.51;0;1.017,00;0;0;1;MS;;0
275;03/02/2025;05/02/2025;13715844000160;EDUARDO MONCAO;199.51;0;1.347,00;0;0;1;MS;;0
157;03/02/2025;05/02/2025;41771264000126;LOURIVAL RAIMUN;199.51;0;2.654,00;0;0;1;MS;;0
247;03/02/2025;05/02/2025;34394173000153;JOSE AP DOS SAN;199.51;0;1.240,00;0;0;1;MS;;0
358;03/02/2025;05/02/2025;31640223000147;ARTUR PINHEIRO;199.51;0;3.282,00;0;0;1;MS;;0
42;03/02/2025;05/02/2025;53593086000170;FIDEL TRANSPORT;199.51;0;2.544,00;0;0;1;MS;;0
64;03/02/2025;05/02/2025;51731423000112;AMARILDO PINHEI;199.51;0;3.559,00;0;0;1;MS;;0
256;03/02/2025;05/02/2025;33693691000105;A DE SOUZA ME;199.51;0;782;0;0;1;MS;;0
164;03/02/2025;05/02/2025;42785004000172;ARI TRANSPORTES;199.51;0;3.416,00;0;0;1;MS;;0
208;03/02/2025;05/02/2025;36953371000135;J GONCALVES DA;199.51;0;1.901,00;0;0;1;MS;;0
274;03/02/2025;05/02/2025;33918000000124;E DA SILVA LEIT;199.51;0;1.079,00;0;0;1;MS;;0
258;03/02/2025;05/02/2025;33661389000175;EDEMIR MARQUES;199.51;0;5.196,00;0;0;1;MS;;0
277;04/02/2025;05/02/2025;31896843000141;MARCOS PARREIRA;199.51;0;1.776,00;0;0;1;MS;;0
1090;03/02/2025;05/02/2025;27493354000171;CARLOS ALBERTO;199.51;0;8.374,00;0;0;1;MS;;0
187;04/02/2025;05/02/2025;40732721000100;CHEST TRANSPORT;199.51;0;2.109,00;0;0;1;MS;;0
151;04/02/2025;05/02/2025;16944369000192;JOTACEVE COMERC;199.51;0;2.407,00;0;0;1;MS;;0
185;03/02/2025;05/02/2025;13488426000188;ALEX LEMES FARI;199.51;0;202,7;0;0;1;MS;;0
61812;09/01/2025;05/02/2025;2318826000633;MERCADO VERATI;132.01;23;658;0;0;1;MS;;0
77706;31/01/2025;05/02/2025;52502507000651;B-MOCOCA SA PRO;212.01;0;264.326,00;0;0;1;GO;;0
858171;04/02/2025;05/02/2025;3456937000164;DISTRIBUIDORA L;196.26;0;310,33;0;0;2;MS;;0
10347;20/01/2025;06/02/2025;10512855000155;REGIA COMERCIAL;132.02;403;127,59;0;0;2;MS;;0
51571;10/01/2025;06/02/2025;2318826000714;ATACADISTA MEGA;132.01;23;658;0;0;1;MS;;0
1062171;28/01/2025;06/02/2025;33033028003604;A-MONDELEZ;212.01;0;478,18;0;0;15;SP;;0
1062172;28/01/2025;06/02/2025;33033028003604;A-MONDELEZ;212.01;0;19.706,49;0;0;15;SP;;0
1062173;28/01/2025;06/02/2025;33033028003604;A-MONDELEZ;212.01;0;2.686,12;0;0;15;SP;;0
1062174;28/01/2025;06/02/2025;33033028003604;A-MONDELEZ;212.01;0;4.418,20;0;0;15;SP;;0
1062175;28/01/2025;06/02/2025;33033028003604;A-MONDELEZ;212.01;0;24.514,96;0;0;15;SP;;0
1062176;28/01/2025;06/02/2025;33033028003604;A-MONDELEZ;212.01;0;3.247,79;0;0;15;SP;;0
1062177;28/01/2025;06/02/2025;33033028003604;A-MONDELEZ;212.01;0;5.737,76;0;0;15;SP;;0
1062178;28/01/2025;06/02/2025;33033028003604;A-MONDELEZ;212.01;0;53.205,51;0;0;15;SP;;0
1062179;28/01/2025;06/02/2025;33033028003604;A-MONDELEZ;212.01;0;36.604,45;0;0;15;SP;;0
1064016;04/02/2025;06/02/2025;33033028003604;A-MONDELEZ;212.01;0;490.669,62;0;0;15;SP;;0
30285;03/02/2025;07/02/2025;34345699000143;CENTRAL EMBALAG;196.26;0;1.651,93;0;0;1;MS;;0
4675;21/01/2025;07/02/2025;37577145000240;SUPERMERCADO PA;132.02;21;548,75;15,87;0;1;MS;;0
2338;22/01/2025;07/02/2025;9531413000843;OLIVEIRA E CARN;132.02;403;120,4;6,13;0;1;MS;;0
981666;05/02/2025;07/02/2025;42263870000101;EFICAZ ATACADAO;196.12;0;407,54;0;0;1;MS;;0
705129;07/02/2025;07/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;13,43;0;0;2;MS;AJUSTE ESTO;QUE            0
705135;07/02/2025;07/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;145,4;0;0;2;MS;BAIXA MERCA;DORIA PAR      0
705136;07/02/2025;07/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;35,44;0;0;2;MS;AJUSTE ESTO;QUE            0
705137;07/02/2025;07/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;157,55;0;0;2;MS;AJUSTE ESTO;QUE            0
705138;07/02/2025;07/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;340,29;0;0;2;MS;AJUSTE ESTO;QUE            0
60814;11/01/2025;07/02/2025;2318826000129;MERCADO VERATTI;132.02;23;119,78;25,93;0;1;MS;;0
705140;07/02/2025;07/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;170,34;0;0;2;MS;;0
705159;07/02/2025;07/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;12,62;0;0;2;MS;;0
11403;31/01/2025;10/02/2025;11311873000131;MATOS E SILVA L;132.01;5;54,6;0;0;1;MS;;0
2427;31/01/2025;10/02/2025;9310730000244;MERCADO REAL;132.01;6;173,24;0;0;2;MS;;0
62215;29/01/2025;10/02/2025;2318826000633;MERCADO VERATI;132.01;23;254,2;0;0;1;MS;;0
4884;27/01/2025;10/02/2025;4860926000299;ATACADO NANTES;132.01;8;493,52;55,73;0;1;MS;;0
38615;30/01/2025;10/02/2025;37193828000113;;132.01;408;227,85;0;0;2;MS;;0
147319;30/01/2025;10/02/2025;12887219000133;SM NOVA ESTRELA;132.01;211;723,17;80,35;0;1;MS;;0
18102;29/01/2025;10/02/2025;9531413000339;NUNES SUPERMERC;132.01;403;120,41;0;0;1;MS;;0
13256;28/01/2025;10/02/2025;20335148000607;A R S SUPERMERC;132.01;15;167,7;0;0;1;MS;;0
13258;28/01/2025;10/02/2025;20335148000607;A R S SUPERMERC;132.01;15;201,24;0;0;1;MS;;0
705191;10/02/2025;10/02/2025;33177232000179;;132.16;19;234;4,68;0;2;MS;DEV.VENDA R;EF.NF CLI    977
705192;10/02/2025;10/02/2025;42390004000173;;132.16;21;477,77;14,98;0;2;MS;DEV.VENDA R;EF.NF CLI   4958
705193;10/02/2025;10/02/2025;19344903000118;;132.16;6;246,55;36,08;0;2;MS;DEV.VENDA R;EF.NF CLI    532
705194;10/02/2025;10/02/2025;150866000189;;132.16;408;182,53;0;0;2;MS;DEV.VENDA R;EF.NF CLI    535
705195;10/02/2025;10/02/2025;5140248000171;ERIVAN;132.16;408;1.600,19;63,61;0;2;MS;DEV.VENDA R;EF.NF CLI    536
705196;10/02/2025;10/02/2025;43925806000101;;132.16;408;1.217,02;62,21;0;2;MS;DEV.VENDA R;EF.NF CLI    527
705197;10/02/2025;10/02/2025;15571482000298;;132.16;459;1.093,08;16,05;0;2;MS;DEV.VENDA R;EF.NF CLI    822
705198;10/02/2025;10/02/2025;48609947000120;NSF MERCADO;132.16;401;267,2;5,65;0;2;MS;DEV.VENDA R;EF.NF CLI    230
705199;10/02/2025;10/02/2025;8695858000200;SUPERMERCADO SO;132.16;17;1.252,32;0;0;2;MS;DEV.VENDA R;EF.NF CLI 470382
705200;10/02/2025;10/02/2025;8695858000200;SUPERMERCADO SO;132.16;17;3.608,90;168,88;0;2;MS;DEV.VENDA R;EF.NF CLI    477
705201;10/02/2025;10/02/2025;7710657000191;;132.16;23;203,54;119,94;0;2;MS;DEV.VENDA R;EF.NF CLI   3118
705202;10/02/2025;10/02/2025;31171199000144;;132.16;414;251,47;31,72;0;2;MS;DEV.VENDA R;EF.NF CLI    821
705203;10/02/2025;10/02/2025;14249816000168;;132.16;19;509,58;42,1;0;2;MS;DEV.VENDA R;EF.NF CLI    980
705204;10/02/2025;10/02/2025;34349051000145;MERCADO E ACOUG;132.16;19;1.729,76;84,91;0;2;MS;DEV.VENDA R;EF.NF CLI    967
705205;10/02/2025;10/02/2025;7742942000194;;132.16;153;258,61;52,96;0;2;MS;DEV.VENDA R;EF.NF CLI    446
705206;10/02/2025;10/02/2025;39470251000175;;132.34;12;210,12;0;0;2;MS;DEV.VENDA R;EF.NF CLI 592042
705207;10/02/2025;10/02/2025;55426230000109;;132.16;21;390,39;0;0;2;MS;DEV.VENDA R;EF.NF CLI   4966
705208;10/02/2025;10/02/2025;43463332000115;;132.16;413;175,07;0,48;0;2;MS;DEV.VENDA R;EF.NF CLI    464
705209;10/02/2025;10/02/2025;42973930000171;;132.16;408;1.282,30;148,26;0;2;MS;DEV.VENDA R;EF.NF CLI    529
705210;10/02/2025;10/02/2025;10235154000116;GT COMERC. ALIM;132.16;153;112,39;0;0;2;MS;DEV.VENDA R;EF.NF CLI    458
705211;10/02/2025;10/02/2025;48755992000193;;132.16;159;128,39;10,52;0;2;MS;DEV.VENDA R;EF.NF CLI    231
705212;10/02/2025;10/02/2025;24617141000116;;132.16;453;255,01;27,79;0;2;MS;DEV.VENDA R;EF.NF CLI    684
705213;10/02/2025;10/02/2025;29850277000195;;132.16;151;23,88;0;0;2;MS;DEV.VENDA R;EF.NF CLI    847
705214;10/02/2025;10/02/2025;2753798000178;;132.16;408;197,18;0;0;2;MS;DEV.VENDA R;EF.NF CLI    515
705215;10/02/2025;10/02/2025;21725088000189;MARLONKARNES CO;132.16;459;121,36;0;0;2;MS;DEV.VENDA R;EF.NF CLI    972
705216;10/02/2025;10/02/2025;15925803000124;;132.16;12;398,7;67,39;0;2;MS;DEV.VENDA R;EF.NF CLI 810079
705217;10/02/2025;10/02/2025;2753798000178;;132.16;408;778,45;57,83;0;2;MS;DEV.VENDA R;EF.NF CLI    538
705218;10/02/2025;10/02/2025;3631998000110;POSTO DA PRACA;132.16;19;926,02;16,7;0;2;MS;DEV.VENDA R;EF.NF CLI    988
705219;10/02/2025;10/02/2025;13650915000194;;132.16;408;171,38;24,13;0;2;MS;DEV.VENDA R;EF.NF CLI    539
705220;10/02/2025;10/02/2025;7307950000102;;132.16;90;127,26;0;0;2;MS;DEV.VENDA R;EF.NF CLI 810013
705221;10/02/2025;10/02/2025;39614336000180;;132.16;21;356,34;0;0;2;MS;DEV.VENDA R;EF.NF CLI   4963
705222;10/02/2025;10/02/2025;27066419000100;;132.16;408;186,26;4,98;0;2;MS;DEV.VENDA R;EF.NF CLI    532
705223;10/02/2025;10/02/2025;29434140000150;;132.16;408;1.207,92;16,84;0;2;MS;DEV.VENDA R;EF.NF CLI    523
705224;10/02/2025;10/02/2025;5880659000101;;132.16;415;974,93;2,93;0;2;MS;DEV.VENDA R;EF.NF CLI    257
34622;28/01/2025;10/02/2025;16811326000139;COMERCIAL SAO J;132.01;12;651,12;0;0;1;MS;;0
1256;29/01/2025;10/02/2025;15534654000687;MERCADO PAG POK;132.01;401;794,65;72,07;0;1;MS;;0
1030;27/01/2025;10/02/2025;13297014000241;SUPERMERCADO GU;132.02;459;436,05;0;0;1;MS;;0
48726;06/02/2025;10/02/2025;9473933000170;SUPERMERCADO CO;132.02;21;1.167,41;97,27;0;1;MS;;0
7881;03/02/2025;10/02/2025;43437785000177;CENTRAL ATACADI;132.02;408;550,66;40,41;0;1;MS;;0
23570;31/01/2025;10/02/2025;15534654000415;PAG POCO;132.02;401;299,22;0,97;0;1;MS;;0
11390;30/01/2025;10/02/2025;15534654000253;SUPERMERCA PAG;132.02;401;267,53;15,04;0;1;MS;;0
28806;06/02/2025;10/02/2025;15756860000127;SUPERM RAMOS E;132.02;9;615,74;29,78;0;2;MS;;0
23620;06/02/2025;10/02/2025;15534654000415;PAG POCO;132.02;401;454,34;25,65;0;1;MS;;0
51396;07/02/2025;10/02/2025;15534654000172;SUPERMERCADO PA;132.02;401;229,97;7,65;0;1;MS;;0
22683;06/02/2025;10/02/2025;12075667000213;S PIRES PIRATIN;132.02;840;248,04;33,88;0;1;MS;;0
11599;07/02/2025;10/02/2025;9531413000509;NUNES SUPERMERC;132.02;403;32,26;2,23;0;1;MS;;0
14659;07/02/2025;10/02/2025;12075667000809;S PIRES;132.02;402;522,45;82,16;0;1;MS;;0
27069;05/02/2025;10/02/2025;37577145000160;RUY RODRIGUES P;132.02;21;876,94;46,16;0;1;MS;;0
14541;05/02/2025;10/02/2025;12934721000158;ECONOMICO SUPER;132.02;5;67,19;0;0;2;MS;;0
7692;06/02/2025;10/02/2025;10513998000777;BONANCA COM ALI;132.02;402;140,56;0;0;1;MS;;0
15868;22/01/2025;10/02/2025;1274396000802;SUPERMERCADOS P;132.02;9;1.003,92;24,24;0;1;MS;;0
9406;07/02/2025;10/02/2025;12075667001295;SUPERMERCADO PI;132.02;402;584,03;92,5;0;1;MS;;0
36187;17/01/2025;10/02/2025;8664194000212;SOCOLOSKI SUPE;132.02;19;333,38;0;0;1;MS;;0
17566;16/01/2025;10/02/2025;81584278006358;COPAGRIL;132.02;19;489,74;7,27;0;1;MS;;0
705230;10/02/2025;10/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;308,8;0;0;2;MS;AJUSTE ESTO;QUE            0
71842;10/02/2025;11/02/2025;7875801000140;BRASFER;196.36;0;439,94;0;0;1;MS;;0
95836;17/01/2025;11/02/2025;2339292000117;DISTR DE ALIM S;132.02;408;612,77;0;0;1;MS;;0
1206361;24/01/2025;11/02/2025;5075152000177;ZZ MUNDIAL;299.67;0;3.310,86;0;0;1;SP;;0
705253;11/02/2025;11/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;584,03;0;0;2;MS;AJUSTE ESTO;QUE            0
705263;11/02/2025;11/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;101,46;0;0;2;MS;AJUSTE ESTO;QUE            0
5942;16/01/2025;12/02/2025;10396426000160;COMERCIAL BR;132.01;16;229,77;55,48;0;1;MS;;0
62213;29/01/2025;12/02/2025;2318826000633;MERCADO VERATI;132.01;23;944,4;0;0;1;MS;;0
705268;12/02/2025;12/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;1.477,10;0;0;2;MS;;0
705273;12/02/2025;12/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;35,45;0;0;2;MS;;0
705274;12/02/2025;12/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;259,9;0;0;2;MS;;0
705280;12/02/2025;12/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;106,09;0;0;2;MS;;0
2944;11/02/2025;12/02/2025;20392930000145;COZINHA TEMPERO;196.52;0;1.010,90;0;0;1;MS;;0
7336863;30/01/2025;12/02/2025;72381189001001;DELL COMPUTADOR;291.02;0;24.114,49;0;0;1;SP;;0
3422782;28/01/2025;12/02/2025;280273000218;SAMSUNG ELETRON;291.05;0;26.201,14;0;0;1;SP;;0
705328;12/02/2025;12/02/2025;4757459003968;LEVEMAX SUPERAT;132.16;90;2.043,36;0;0;2;MS;DEV.VENDA R;EF.NF CLI     88
705329;12/02/2025;12/02/2025;4757459002643;ABEVE SUPERMERC;132.16;90;5.616,72;0;0;2;MS;DEV.VENDA R;EF.NF CLI     82
705330;12/02/2025;12/02/2025;6088542000144;VT PARANA SUPER;132.16;9;631,86;0;0;2;MS;DEV.VENDA R;EF.NF CLI 493158
705331;12/02/2025;12/02/2025;35831943000574;;132.16;23;346,32;230,88;0;2;MS;DEV.VENDA R;EF.NF CLI   3251
705332;12/02/2025;12/02/2025;6088542000144;VT PARANA SUPER;132.16;9;2.185,38;103,76;0;2;MS;DEV.VENDA R;EF.NF CLI    482
705333;12/02/2025;12/02/2025;4757459001914;ABEVE SUPERMERC;132.16;90;741,12;0;0;2;MS;DEV.VENDA R;EF.NF CLI     77
705334;12/02/2025;12/02/2025;39494514000186;;132.16;17;344,9;29,9;0;2;MS;DEV.VENDA R;EF.NF CLI    558
705335;12/02/2025;12/02/2025;4757459000438;ABV;132.16;90;7.254,48;0;0;2;MS;DEV.VENDA R;EF.NF CLI     71
705336;12/02/2025;12/02/2025;43437785000177;CENTRAL ATACADI;132.16;408;99,96;5,88;0;2;MS;DEV.VENDA R;EF.NF CLI    553
705337;12/02/2025;12/02/2025;53669741000126;;132.16;23;307,86;235,92;0;2;MS;DEV.VENDA R;EF.NF CLI   3283
705338;12/02/2025;12/02/2025;35831943000574;;132.16;23;451,27;342,7;0;2;MS;DEV.VENDA R;EF.NF CLI   3250
705339;12/02/2025;12/02/2025;46154534000173;;132.16;23;287,23;31,91;0;2;MS;DEV.VENDA R;EF.NF CLI   3270
705340;12/02/2025;12/02/2025;9531413001149;NUNES SUPERMERC;132.16;403;957,02;11,11;0;2;MS;DEV.VENDA R;EF.NF CLI    458
705341;12/02/2025;12/02/2025;11311873000212;MATOS E SILVA L;132.16;5;409,65;0;0;2;MS;DEV.VENDA R;EF.NF CLI   1153
705342;12/02/2025;12/02/2025;4757459002996;ABEVE SUPERMERC;132.16;90;3.291,36;0;0;2;MS;DEV.VENDA R;EF.NF CLI     79
705343;12/02/2025;12/02/2025;27241594000189;C E G DE MATOS;132.16;5;504,17;0;0;2;MS;DEV.VENDA R;EF.NF CLI   1151
705344;12/02/2025;12/02/2025;37916180000166;;132.16;14;134,97;0;0;2;MS;DEV.VENDA R;EF.NF CLI    486
705345;12/02/2025;12/02/2025;34126843000150;;132.16;414;825,52;107,82;0;2;MS;DEV.VENDA R;EF.NF CLI 810036
705346;12/02/2025;12/02/2025;28747064000170;;132.16;411;1.038,08;0;0;2;MS;DEV.VENDA R;EF.NF CLI    455
705347;12/02/2025;12/02/2025;26042466000143;;132.16;411;109,08;0;0;2;MS;DEV.VENDA R;EF.NF CLI    460
705348;12/02/2025;12/02/2025;22852470000116;;132.16;411;6.137,02;249,24;0;2;MS;DEV.VENDA R;EF.NF CLI    469
705349;12/02/2025;12/02/2025;43887572000147;;132.16;19;432,35;46,75;0;2;MS;DEV.VENDA R;EF.NF CLI    996
705350;12/02/2025;12/02/2025;27922955000152;;132.16;9;318,1;0;0;2;MS;DEV.VENDA R;EF.NF CLI    477
705351;12/02/2025;12/02/2025;20672189000176;JJ SUPERMECADO;132.16;9;957,37;102,87;0;2;MS;DEV.VENDA R;EF.NF CLI    492
705352;12/02/2025;12/02/2025;44111883000182;;132.16;437;295,61;27,03;0;2;MS;DEV.VENDA R;EF.NF CLI    585
705353;12/02/2025;12/02/2025;4757459002805;LEVE MAIS MARAC;132.34;90;2.066,88;0;0;2;MS;DEV.VENDA R;EF.NF CLI     81
705354;12/02/2025;12/02/2025;4757459000357;;132.34;90;5.770,24;0;0;2;MS;DEV.VENDA R;EF.NF CLI     70
705355;12/02/2025;12/02/2025;4757459002562;LEVEMAX SUPERAT;132.34;90;1.030,40;0;0;2;MS;DEV.VENDA R;EF.NF CLI     80
705356;12/02/2025;12/02/2025;4757459001400;ABV COMERCIO;132.34;90;5.324,40;0;0;2;MS;DEV.VENDA R;EF.NF CLI     74
705357;12/02/2025;12/02/2025;37398754000151;;132.34;23;455,95;0;0;2;MS;DEV.VENDA R;EF.NF CLI 810030
705358;12/02/2025;12/02/2025;4757459001248;ABEVE;132.34;90;3.114,72;0;0;2;MS;DEV.VENDA R;EF.NF CLI     72
705359;12/02/2025;12/02/2025;46018910000100;;132.34;11;221,83;10,78;0;2;MS;DEV.VENDA R;EF.NF CLI 810035
705360;12/02/2025;12/02/2025;7057115000161;;132.34;415;302,53;0;0;2;MS;DEV.VENDA R;EF.NF CLI 810039
705361;12/02/2025;12/02/2025;5880618000298;SUPERMERCADO CE;132.16;5;14.421,17;1.437,12;0;2;MS;DEV.VENDA R;EF.NF CLI   1176
705368;12/02/2025;12/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;101,42;0;0;2;MS;AJUSTE ESTO;QUE            0
705369;12/02/2025;12/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;8,1;0;0;2;MS;AJUSTE ESTO;QUE            0
1206126;23/01/2025;13/02/2025;5075152000177;ZZ MUNDIAL;299.67;0;22.877,20;0;0;1;SP;;0
12564;06/02/2025;13/02/2025;4757459002996;ABEVE SUPERMERC;132.01;90;307,72;0;0;5;MS;;0
10033;03/02/2025;13/02/2025;4757459003704;LEVEMAX SUPERAT;132.01;90;3.769,92;0;0;5;MS;;0
31289;04/02/2025;13/02/2025;4757459000438;ABV;132.01;90;2.591,87;0;0;5;MS;;0
16570;04/02/2025;13/02/2025;4757459001400;ABV COMERCIO;132.01;90;603,06;0;0;5;MS;;0
17560;05/02/2025;13/02/2025;4757459000357;;132.01;90;603,06;0;0;5;MS;;0
4189;07/02/2025;13/02/2025;4757459004000;LEVEMAX SUPERAT;132.01;90;226,28;0;0;5;MS;;0
12560;06/02/2025;13/02/2025;4757459003887;LEVEMAX SUPERAT;132.01;90;5.641,92;57,71;0;5;MS;;0
16469;07/02/2025;13/02/2025;4757459001248;ABEVE;132.01;90;1.108,27;30,58;0;5;MS;;0
43243;05/02/2025;13/02/2025;4757459002805;LEVE MAIS MARAC;132.01;90;5.041,58;0;0;5;MS;;0
766;08/01/2025;13/02/2025;23474980000160;SUPERMERCADO KA;132.01;415;79,34;0;0;1;MS;;0
7330;04/02/2025;13/02/2025;9531413000258;NUNES SUPERMERC;132.01;403;416,64;0;0;1;MS;;0
50;11/02/2025;13/02/2025;47432550000143;PARTNER TECNOLO;196.48;0;420;0;0;1;MS;;0
61034;29/01/2025;13/02/2025;2318826000129;MERCADO VERATTI;132.01;23;508,4;0;0;1;MS;;0
11392;30/01/2025;13/02/2025;15534654000253;SUPERMERCA PAG;132.01;401;1.003,36;49,51;0;1;MS;;0
134;12/02/2025;13/02/2025;35795689000172;MERCADO CANAA;196.68;0;519,19;0;0;1;MS;;0
51254;29/01/2025;13/02/2025;15534654000172;SUPERMERCADO PA;132.01;401;1.083,97;62,95;0;1;MS;;0
110576;16/01/2025;13/02/2025;12887219000214;SM NOVA ESTRELA;132.01;460;57,61;2,27;0;1;MS;;0
3702;29/01/2025;13/02/2025;15534654000334;MERCADO PAG POK;132.01;401;187,26;9,42;0;1;MS;;0
15127;03/02/2025;13/02/2025;10235154000116;GT COMERC. ALIM;132.01;401;55,62;0;0;1;MS;;0
18153;04/02/2025;13/02/2025;9326928000135;MERCADO STO ANT;132.01;401;18,54;0;0;1;MS;;0
2743;30/01/2025;13/02/2025;15534654000768;MERCADO PAG POK;132.01;401;397,33;36,03;0;1;MS;;0
146787;17/01/2025;13/02/2025;12887219000133;SM NOVA ESTRELA;132.01;460;563,18;4,21;0;1;MS;;0
23572;31/01/2025;13/02/2025;15534654000415;PAG POCO;132.01;401;252,47;18,99;0;1;MS;;0
1475;31/01/2025;13/02/2025;39596428000184;COMERCIAL DUAS;132.01;17;124,6;0;0;1;MS;;0
705387;13/02/2025;13/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;68,99;0;0;2;MS;AJUSTE ESTO;QUE            0
705420;13/02/2025;13/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;137,98;0;0;2;MS;AJUSTE ESTO;QUE            0
705486;13/02/2025;13/02/2025;726560000128;TRIUNFANTE-DIVE;199.98;0;114,05;0;0;2;MS;AJUSTE ESTO;QUE            0
4092;31/01/2025;14/02/2025;10586929000106;SERCATO TRANSPO;296.44;0;8.400,00;0;0;1;MT;;0
1210043;09/02/2025;14/02/2025;5075152000177;ZZ MUNDIAL;299.67;0;4.056,66;0;0;1;SP;;0
4434;05/02/2025;14/02/2025;33168717000600;RINCAO ATACADIS;132.01;12;157,97;0;0;1;MS;;0
51394;07/02/2025;14/02/2025;15534654000172;SUPERMERCADO PA;132.01;23;48,7;0;0;1;MS;;0
15616;06/02/2025;14/02/2025;10513998001234;SUPERMERCADO PI;132.01;402;145,05;0;0;1;MS;;0
74262;07/02/2025;14/02/2025;3735605000119;UNIAO;132.01;8;97,44;8,4;0;1;MS;;0
123533;06/02/2025;14/02/2025;18862844000107;CIDADE BRANCA S;132.01;414;128,75;21,63;0;1;MS;;0
3933;07/02/2025;14/02/2025;46876542000204;FERNANDES SUPER;132.01;14;810,73;0;0;1;MS;;0
14981;07/02/2025;14/02/2025;22965953000127;A3 SUPERMERCADO;132.01;6;162,09;0;0;1;MS;;0
27255;06/02/2025;14/02/2025;16605389000210;FREY SUPERMERCA;132.01;14;181,26;0;0;1;MS;;0
146783;17/01/2025;14/02/2025;12887219000133;SM NOVA ESTRELA;132.01;211;992,64;0;0;1;MS;;0
